Title,Quantity,Actual Price in Rs,Discounted Price in Rs,Stock,Category,Store
"Menu Premium Fish Fillet, 4 Pieces, 515g",4 Pieces,"1,004",,In stock,Frozen Food,Naheed
Menu Chicken Hand Crafted Tenders 500g,500 g,900,,In stock,Frozen Food,Naheed
"Menu Whole Wheat Paratha, 30 Pieces",30 Pieces,"1,235",,In stock,Frozen Food,Naheed
"Menu Premium Crispy Fillet, 5 Pieces, 565g",5 Pieces,"1,043",,In stock,Frozen Food,Naheed
Menu Chicken Cheese Nuggets 600g,600 g,820,,In stock,Frozen Food,Naheed
Menu Popcorn Fish 500g,500 g,938,,In stock,Frozen Food,Naheed
Menu Tempura Fish Fillet 500g,500 g,938,,In stock,Frozen Food,Naheed
"Menu Shami Kabab, 18 Pieces, 700g",18 Pieces,"1,089",,In stock,Frozen Food,Naheed
Menu Chicken Tulips 750g,750 g,965,,In stock,Frozen Food,Naheed
Menu Chicken Nuggets 1000g,1000 g,"1,210",,In stock,Frozen Food,Naheed
Menu Popcorn Chicken 780g,780 g,"1,130",,In stock,Frozen Food,Naheed
Menu Chicken Kofta 1000g,1000 g,"1,458",,In stock,Frozen Food,Naheed
Menu Popcorn Chicken 260g,260 g,455,,In stock,Frozen Food,Naheed
"Menu Burger Patties, 18 Pieces, 1075g",18 Pieces,"1,310",,In stock,Frozen Food,Naheed
"Menu Seekh Kabab, 20 Pieces, 540g",20 Pieces,"1,060",,In stock,Frozen Food,Naheed
"Menu Chapli Kabab, 4 Pieces, 296g",4 Pieces,460,,In stock,Frozen Food,Naheed
"Sabroso Chicken Wingers, 600g",600 g,830,,In stock,Frozen Food,Naheed
"Sabroso Leg Tikka, 4 Pieces, 760g",4 Pieces,"1,120",,In stock,Frozen Food,Naheed
"Sabroso Chicken Kofta, 27-29 Pieces, 800g",29 Pieces,"1,170",,In stock,Frozen Food,Naheed
"Sabroso Chicken Chapli Kabab, 4 Pieces, 296g",4 Pieces,455,,In stock,Frozen Food,Naheed
"Sabroso Aqua Buddies Nuggets, 12 Pieces, 270g",12 Pieces,445,,In stock,Frozen Food,Naheed
"Sabroso Nuggets, 12 Pieces, 270g",12 Pieces,440,,In stock,Frozen Food,Naheed
"Sabroso Chicken Chapli Kabab, 10 Pieces, 740g",10 Pieces,970,,In stock,Frozen Food,Naheed
"Sabroso Chicken Shami Kabab, 15 Pieces, 600g",15 Pieces,950,,In stock,Frozen Food,Naheed
"Sabroso Chicken Donut, 8 Pieces, 310g",8 Pieces,520,,In stock,Frozen Food,Naheed
"Sabroso Crispy Poppers, 250g",250 g,440,,In stock,Frozen Food,Naheed
"Sabroso Premium Boti Cut, Chicken, 1 KG",1 KG,895,,In stock,Frozen Food,Naheed
"Sabroso Chicken Breast Qeema, 0.5 KG",0.5 KG,630,,In stock,Frozen Food,Naheed
"Sabroso Chicken Boneless Handi, 0.5 KG",0.5 KG,630,,In stock,Frozen Food,Naheed
"Sabroso Boneless Breast, Chicken, 0.5 KG",0.5 KG,630,,In stock,Frozen Food,Naheed
"Sabroso Drumsticks, 1 KG",1 KG,850,,In stock,Frozen Food,Naheed
"Sabroso Karahi Cut Chicken, 1 KG",1 KG,875,,In stock,Frozen Food,Naheed
"Sabroso Chicken Donut, 20 Pieces, 780g",20 Pieces,"1,025",,In stock,Frozen Food,Naheed
"Sabroso Shahi Tikka, 500g",500 g,"1,050",,In stock,Frozen Food,Naheed
"Sabroso Gola Kabab, Chicken, 23 Pieces, 515g",23 Pieces,"1,060",,In stock,Frozen Food,Naheed
"Sabroso Chicken Seekh Kabab, 18 Pieces, 540g",18 Pieces,990,,In stock,Frozen Food,Naheed
"Sabroso Zesty Fillet, 5 Pieces, 550g",5 Pieces,"1,020",,In stock,Frozen Food,Naheed
"Sabroso Crispy Poppers, Economy Pack, 630g",630 g,915,,In stock,Frozen Food,Naheed
"Sabroso Nuggets, 35-37 Pieces, 820g",37 Pieces,"1,000",,In stock,Frozen Food,Naheed
"Sabroso Burger Patty, 16 Pieces, Chicken, 1000g",16 Pieces,"1,225",,In stock,Frozen Food,Naheed
"Sabroso Crispy Burger Patty, 12 Pieces, Chicken, 1000g",12 Pieces,"1,245",,In stock,Frozen Food,Naheed
"Sabroso Chunky Bites, Chicken, 700g",700 g,830,,In stock,Frozen Food,Naheed
