Title,Quantity,Actual Price in Rs,Discounted Price in Rs,Stock,Category,Store
Guard Awami Basmati Rice  5 Kg,5 Kg,"1,490","1,325",In stock,Rice & pulses,QNE
Guard Tibar Aromatic Basmati Rice 1 Kg,1 Kg,370,,In stock,Rice & pulses,QNE
Guard Tibar Aromatic Basmati Rice 5 Kg,5 Kg,"2,025","1,825",In stock,Rice & pulses,QNE
Guard Super Kernal Basmati Rice 5kg,5 kg,"2,050",,In stock,Rice & pulses,QNE
Falak Extreme Basmati Rice  1 kg,1 kg,490,480,In stock,Rice & pulses,QNE
Falak Premium Rice 1 kg,1 kg,449,425,In stock,Rice & pulses,QNE
Guard Tukra Broken Basmati Rice 5Kg,5 Kg,"1,445","1,350",In stock,Rice & pulses,QNE
Falak Premium Rice 5 kg,5 kg,"2,235","2,100",In stock,Rice & pulses,QNE
Guard Super Kernal Basmati Rice 1kg,1 kg,415,,In stock,Rice & pulses,QNE
Shahenshah Supreme King Of Rice 1kg,1 kg,370,,In stock,Rice & pulses,QNE
Daal Masoor 0.5 Kg,0.5 Kg,145,,In stock,Rice & pulses,QNE
Daal Chana 1 Kg,1 Kg,190,175,In stock,Rice & pulses,QNE
Sunridge Daal Moong 1 Kg,1 Kg,330,,In stock,Rice & pulses,QNE
White Chana 1Kg,1 Kg,280,270,In stock,Rice & pulses,QNE
Guard Awami Basmati Rice  1 Kg,1 Kg,275,,In stock,Rice & pulses,QNE
Ponam supreme Basmati Rice 5kg,5 kg,"1,499",,In stock,Rice & pulses,QNE
Ponam Dal Moong 1kg,1 kg,205,195,In stock,Rice & pulses,QNE
Ponam Dal Masoor 1kg,1 kg,255,215,In stock,Rice & pulses,QNE
Daal Masoor 1 Kg,1 Kg,235,225,In stock,Rice & pulses,QNE
Guard Ultimate Natures Longest Basmati Rice  5 Kg,5 Kg,"2,490","2,400",In stock,Rice & pulses,QNE
Guard Super Kernal Sella Basmati Rice 1kg,1 kg,365,355,In stock,Rice & pulses,QNE
Daal Moong 1 Kg,1 Kg,215,,In stock,Rice & pulses,QNE
Shahenshah Tota Rice 5kg,5 kg,560,550,In stock,Rice & pulses,QNE
Falak Daily Rice 1 kg,1 kg,346,320,In stock,Rice & pulses,QNE
Shahenshah Ponia Rice 5kg,5 kg,650,640,Out of stock,Rice & pulses,QNE
Falak Select Super Basmati Rice 5Kg,5 Kg,"1,420","1,400",Out of stock,Rice & pulses,QNE
Jazaa Rozmarrah Rice (Green) 1 Kg,1 Kg,135,122,Out of stock,Rice & pulses,QNE
Falak Select Super Basmati Rice 1kg,1 kg,305,295,Out of stock,Rice & pulses,QNE
Sunridge Daal Chana 0.5 Kg,0.5 Kg,99,92,Out of stock,Rice & pulses,QNE
Black Chana 1kg,1 kg,180,170,Out of stock,Rice & pulses,QNE
Shahenshah Special Rice 1 Kg,1 Kg,230,220,Out of stock,Rice & pulses,QNE
Guard Super Kernal Sella Basmati Rice 5kg,5 kg,"1,535","1,525",Out of stock,Rice & pulses,QNE
Shahenshah Special Rice 5kg Bag,5 kg,"1,085","1,075",Out of stock,Rice & pulses,QNE
