Title,Quantity,Actual Price in Rs,Discounted Price in Rs,Stock,Category,Store
Hilal Panda Cake Chocolate 10'S Box,,265,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
CANDYLAND CHOCO YOU RS.50 1'S,,40,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
Cadbury Dairy Milk Bubbly Local 13.5g,13.5 g,45,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
Cadbury Dairy Milk Crackle 21.5g Local,21.5 g,72,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
CANDYLAND CHOCO YOU RS.30 1'S,,24,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
Candyland Chocolate Sonnet 12x18g Box,12 x,95,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
Cadbury Dairy Milk Fruit & Nut Local 38g,38 g,135,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
Cadbury Dairy Milk Local 90g,90 g,290,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
CADBURY DAIRY MILK CHOCOLATE 25G,25 G,63,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
Cadbury Dairy Milk Bubbly 40g Local,40 g,145,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
Cadbury Dairy Milk Bubbly 20g Local,20 g,80,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
Cadbury Dairy Milk Roasted Almond Local 38g,38 g,135,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
Mitchell's Jubilee 20g,20 g,16,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
Cadbury Dairy Milk Bubbly 87g Local,87 g,315,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
Cadbury Dairy Milk Miniature 160G,160 G,540,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
Candyland Choco Paradise Rs.20 12'S,,191,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
Candyland Chocolate Now Gold Rs:10 12's Box,,96,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
Cadbury Dairy Milk Bubbly 204G Local,204 G,515,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
Cadbury Chocolate Moro 25g,25 g,22,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
Cadbury Dairy Milk Local 10g,10 g,27,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
Cadbury Dairy Milk Local 20g,20 g,45,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
Cadbury Dairy Milk Local 45g,45 g,90,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
Candyland Chocolate Paradise 12x15g Box,12 x,95,,In stock,Snacks & Confectionary > Chocolates,Imtiaz
Candyland Marshmallow Junior Puff Rainbow 18'S 360G Rs.10/-,360 G,149,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Marshmallow,Imtiaz
